checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk
>=200,4,existing_paid,radio_tv,19072,500<=X<1000,<1,2,female_single,none,3,real_estate,39,stores,free,4,highly_skilled,2,no,yes,Bad
<0,17,delayed,business,16200,500<=X<1000,>=7,4,female_single,guarantor,4,no_property,51,stores,rent,3,skilled,1,yes,no,Bad
no_account,67,existing_paid,furniture,12752,>=1000,unemployed,2,female_single,none,4,life_insurance,32,bank,free,3,unskilled,1,yes,no,Bad
<0,41,all_paid,other,9991,500<=X<1000,<1,3,female_single,co_applicant,2,real_estate,27,stores,rent,4,management,1,yes,no,Good
no_account,40,no_credit,furniture,6191,<100,4<=X<7,3,female_single,guarantor,1,life_insurance,32,stores,rent,4,highly_skilled,2,yes,yes,Good
no_account,14,critical,radio_tv,5105,500<=X<1000,>=7,1,female_single,none,4,life_insurance,59,stores,own,2,skilled,1,no,yes,Good
0<=X<200,6,critical,other,15416,500<=X<1000,unemployed,3,male_married,co_applicant,3,real_estate,46,stores,rent,1,unskilled,2,no,yes,Bad
<0,36,no_credit,car,19395,>=1000,1<=X<4,1,female_married,co_applicant,3,no_property,74,bank,free,4,unskilled,1,yes,yes,Bad
>=200,9,no_credit,car,6038,>=1000,unemployed,2,male_married,co_applicant,3,life_insurance,40,stores,rent,2,highly_skilled,1,no,yes,Good
>=200,53,all_paid,education,451,500<=X<1000,1<=X<4,4,female_single,guarantor,3,no_property,34,none,free,3,highly_skilled,1,yes,no,Bad
<0,13,existing_paid,radio_tv,10811,100<=X<500,>=7,3,female_single,guarantor,4,no_property,26,stores,own,3,management,1,no,yes,Good
>=200,8,critical,education,17151,>=1000,1<=X<4,3,male_married,co_applicant,2,no_property,67,none,free,3,unskilled,1,no,no,Bad
>=200,26,all_paid,other,7987,unknown,4<=X<7,3,male_married,guarantor,2,real_estate,53,stores,rent,3,management,1,no,yes,Good
<0,13,existing_paid,radio_tv,2238,unknown,1<=X<4,2,female_married,none,3,car,26,none,free,2,unskilled,2,no,yes,Good
no_account,47,all_paid,business,15691,<100,4<=X<7,1,male_married,co_applicant,2,no_property,33,none,free,1,unskilled,1,no,yes,Bad
<0,5,critical,furniture,11987,500<=X<1000,>=7,2,female_married,co_applicant,3,car,53,stores,rent,2,skilled,1,no,no,Good
no_account,16,no_credit,business,14506,100<=X<500,>=7,4,female_single,guarantor,3,car,65,stores,free,1,highly_skilled,1,yes,no,Bad
>=200,43,no_credit,other,7412,<100,unemployed,2,male_single,co_applicant,1,life_insurance,68,stores,rent,3,unskilled,2,no,no,Good
>=200,5,existing_paid,radio_tv,13315,500<=X<1000,4<=X<7,4,male_single,none,4,no_property,50,none,own,4,management,1,yes,yes,Bad
>=200,68,delayed,other,14364,>=1000,4<=X<7,3,male_single,guarantor,4,no_property,72,bank,free,4,highly_skilled,2,yes,yes,Bad
0<=X<200,66,existing_paid,furniture,8649,unknown,<1,4,male_single,guarantor,3,no_property,48,bank,own,4,management,1,yes,yes,Bad
no_account,20,delayed,car,5883,100<=X<500,<1,4,female_single,co_applicant,4,car,23,stores,free,1,highly_skilled,1,yes,yes,Bad
0<=X<200,12,all_paid,car,6005,unknown,<1,1,male_single,co_applicant,2,real_estate,27,bank,free,3,highly_skilled,2,yes,yes,Good
0<=X<200,18,all_paid,other,11075,>=1000,1<=X<4,4,male_married,co_applicant,3,car,33,bank,own,2,unskilled,2,yes,yes,Good
<0,27,critical,education,4367,500<=X<1000,<1,4,male_married,guarantor,1,no_property,21,stores,free,4,skilled,1,no,no,Bad
0<=X<200,41,delayed,radio_tv,1768,>=1000,4<=X<7,2,male_single,co_applicant,2,no_property,71,none,free,1,unskilled,2,no,no,Good
<0,38,critical,radio_tv,16596,>=1000,1<=X<4,3,male_married,none,1,no_property,39,stores,own,4,highly_skilled,2,no,yes,Bad
<0,52,no_credit,car,2850,unknown,>=7,2,female_married,co_applicant,1,car,30,bank,free,2,unskilled,1,yes,no,Bad
0<=X<200,65,delayed,business,13487,100<=X<500,unemployed,2,female_single,co_applicant,4,no_property,33,none,rent,3,unskilled,1,yes,no,Bad
no_account,63,existing_paid,furniture,18829,>=1000,<1,3,male_single,guarantor,4,life_insurance,69,bank,free,2,highly_skilled,1,yes,no,Bad
no_account,53,no_credit,business,3804,unknown,>=7,3,male_single,co_applicant,3,no_property,46,none,free,3,highly_skilled,2,no,yes,Bad
no_account,12,no_credit,business,16443,100<=X<500,4<=X<7,4,female_single,guarantor,4,real_estate,23,bank,free,3,unskilled,1,no,yes,Bad
no_account,37,existing_paid,other,19483,500<=X<1000,unemployed,4,male_married,co_applicant,1,life_insurance,43,stores,own,3,unskilled,1,no,yes,Bad
no_account,38,no_credit,car,15503,500<=X<1000,>=7,1,female_single,none,1,no_property,28,bank,rent,4,unskilled,2,yes,yes,Bad
0<=X<200,4,delayed,car,16444,<100,unemployed,2,female_single,none,2,life_insurance,41,bank,rent,2,management,2,yes,no,Bad
0<=X<200,43,critical,car,1992,unknown,<1,3,male_married,guarantor,1,no_property,46,none,free,4,unskilled,1,yes,yes,Good
>=200,67,no_credit,other,1556,100<=X<500,4<=X<7,4,female_single,guarantor,3,real_estate,20,bank,own,2,management,2,no,yes,Bad
no_account,25,delayed,education,4099,>=1000,unemployed,3,male_married,co_applicant,3,no_property,69,stores,own,1,skilled,2,yes,yes,Good
0<=X<200,63,all_paid,business,12610,500<=X<1000,>=7,4,male_married,co_applicant,4,life_insurance,27,stores,rent,1,management,2,yes,no,Bad
>=200,67,delayed,other,13018,100<=X<500,<1,1,female_single,none,4,real_estate,18,stores,own,2,unskilled,1,yes,no,Bad
no_account,14,critical,radio_tv,13282,unknown,<1,1,female_married,co_applicant,4,car,69,none,free,2,skilled,1,yes,no,Bad
<0,17,delayed,furniture,4445,<100,>=7,3,male_married,none,3,real_estate,60,none,free,2,management,1,no,no,Good
>=200,63,existing_paid,education,19189,500<=X<1000,>=7,1,female_single,guarantor,1,real_estate,43,bank,own,2,management,2,no,no,Bad
0<=X<200,33,critical,radio_tv,18939,100<=X<500,unemployed,3,male_married,co_applicant,4,real_estate,29,bank,free,3,highly_skilled,1,yes,yes,Bad
<0,38,all_paid,business,7869,100<=X<500,1<=X<4,4,female_married,guarantor,2,life_insurance,31,bank,rent,4,skilled,1,yes,no,Good
<0,40,existing_paid,car,9530,100<=X<500,<1,2,female_married,co_applicant,4,real_estate,42,none,free,3,highly_skilled,2,no,no,Good
<0,8,delayed,business,2892,unknown,unemployed,1,male_single,none,3,no_property,25,none,own,4,skilled,2,no,yes,Good
>=200,29,critical,other,9619,unknown,>=7,4,male_married,guarantor,4,real_estate,60,bank,rent,4,management,1,yes,yes,Good
0<=X<200,65,all_paid,furniture,14546,unknown,unemployed,2,male_married,guarantor,1,real_estate,21,none,free,4,highly_skilled,2,no,yes,Bad
<0,7,existing_paid,other,15688,>=1000,>=7,2,female_single,co_applicant,4,no_property,45,none,rent,3,unskilled,1,no,no,Bad
no_account,45,all_paid,education,15924,100<=X<500,4<=X<7,2,male_married,guarantor,3,no_property,24,stores,own,2,management,1,yes,yes,Bad
<0,21,delayed,education,5007,500<=X<1000,>=7,4,male_single,none,3,car,27,stores,free,3,skilled,1,no,no,Good
<0,43,all_paid,furniture,3244,unknown,>=7,4,female_married,guarantor,2,real_estate,68,bank,free,3,skilled,2,no,yes,Good
>=200,42,no_credit,radio_tv,15476,unknown,>=7,3,female_married,guarantor,3,life_insurance,74,bank,rent,4,highly_skilled,2,no,no,Bad
>=200,17,existing_paid,radio_tv,1521,100<=X<500,1<=X<4,2,male_single,co_applicant,2,real_estate,53,stores,free,1,highly_skilled,1,no,no,Good
0<=X<200,35,all_paid,education,2063,unknown,>=7,2,male_married,guarantor,1,real_estate,19,none,free,1,skilled,1,yes,no,Bad
no_account,54,delayed,education,19095,>=1000,<1,2,male_married,co_applicant,3,no_property,43,bank,free,3,management,1,no,no,Bad
>=200,41,delayed,car,8725,>=1000,<1,3,male_single,co_applicant,4,car,70,bank,free,4,highly_skilled,1,no,yes,Good
<0,26,all_paid,radio_tv,4646,unknown,unemployed,2,female_single,guarantor,1,real_estate,67,bank,own,3,unskilled,2,yes,yes,Good
0<=X<200,66,delayed,furniture,9533,100<=X<500,1<=X<4,4,female_married,none,4,life_insurance,31,none,free,3,skilled,1,no,no,Bad
<0,18,critical,radio_tv,13568,100<=X<500,unemployed,2,male_single,co_applicant,4,real_estate,33,stores,rent,2,unskilled,1,yes,yes,Bad
<0,28,critical,car,17450,100<=X<500,<1,1,male_single,guarantor,4,life_insurance,71,bank,own,4,skilled,2,yes,no,Bad
>=200,20,critical,other,332,<100,<1,4,male_married,co_applicant,1,no_property,60,stores,rent,1,unskilled,1,no,yes,Good
0<=X<200,69,no_credit,education,2170,unknown,4<=X<7,3,female_married,none,1,car,59,stores,rent,1,management,1,no,yes,Bad
no_account,56,all_paid,education,8067,100<=X<500,>=7,2,male_married,none,3,real_estate,34,none,rent,1,skilled,1,no,no,Bad
no_account,54,no_credit,car,11933,>=1000,<1,1,male_single,co_applicant,4,car,63,none,own,3,management,1,no,no,Bad
>=200,42,delayed,furniture,11586,500<=X<1000,unemployed,3,female_single,none,2,real_estate,39,none,own,4,highly_skilled,1,no,yes,Good
>=200,54,no_credit,education,15846,500<=X<1000,unemployed,3,female_married,guarantor,3,life_insurance,21,none,own,2,skilled,2,yes,no,Bad
0<=X<200,9,delayed,business,2343,100<=X<500,>=7,4,male_single,guarantor,1,car,36,none,free,1,management,2,no,yes,Good
no_account,70,delayed,education,13155,500<=X<1000,>=7,3,male_single,co_applicant,2,real_estate,19,none,rent,4,unskilled,2,yes,yes,Bad
no_account,10,existing_paid,business,8617,500<=X<1000,4<=X<7,3,female_single,none,1,no_property,56,bank,own,1,management,2,no,yes,Good
no_account,54,critical,car,5535,<100,1<=X<4,3,male_single,guarantor,2,life_insurance,26,stores,rent,2,skilled,1,yes,no,Bad
<0,45,delayed,car,11146,>=1000,unemployed,3,male_single,guarantor,3,car,36,none,own,4,management,2,no,no,Good
no_account,67,existing_paid,education,5187,>=1000,>=7,2,female_married,guarantor,2,real_estate,33,bank,own,3,unskilled,2,no,yes,Bad
<0,18,critical,radio_tv,17003,<100,unemployed,2,female_married,co_applicant,3,car,71,stores,own,3,unskilled,2,no,no,Bad
0<=X<200,32,delayed,business,18452,<100,>=7,2,female_married,co_applicant,1,real_estate,42,none,rent,1,unskilled,2,no,no,Bad
<0,36,delayed,furniture,18735,500<=X<1000,<1,2,male_married,guarantor,2,life_insurance,65,none,free,1,highly_skilled,2,no,yes,Bad
0<=X<200,30,no_credit,education,13227,unknown,unemployed,1,female_single,guarantor,4,no_property,35,bank,own,4,skilled,2,yes,no,Bad
no_account,39,no_credit,furniture,18413,500<=X<1000,<1,2,female_married,none,4,life_insurance,40,stores,own,2,unskilled,2,no,no,Bad
no_account,32,critical,education,7924,<100,unemployed,3,male_married,none,1,car,70,none,own,1,highly_skilled,2,no,yes,Good
0<=X<200,41,delayed,radio_tv,17998,>=1000,1<=X<4,2,male_married,none,2,car,38,stores,free,4,unskilled,1,no,no,Bad
>=200,60,all_paid,radio_tv,3926,500<=X<1000,4<=X<7,2,female_single,co_applicant,4,real_estate,28,bank,rent,2,management,2,yes,yes,Bad
0<=X<200,30,no_credit,radio_tv,2676,unknown,<1,4,female_single,guarantor,3,life_insurance,56,none,rent,1,skilled,1,no,no,Good
>=200,58,critical,other,3212,500<=X<1000,>=7,3,male_single,co_applicant,2,real_estate,58,stores,rent,1,management,2,yes,no,Bad
<0,36,delayed,radio_tv,1109,100<=X<500,1<=X<4,2,male_married,guarantor,2,life_insurance,21,bank,rent,4,highly_skilled,2,no,yes,Bad
<0,71,delayed,car,12298,500<=X<1000,unemployed,2,female_married,none,4,car,42,bank,own,1,management,2,yes,yes,Bad
<0,69,all_paid,car,4388,<100,<1,2,female_single,none,3,real_estate,49,none,free,3,management,1,no,no,Bad
no_account,13,critical,other,2674,>=1000,unemployed,1,male_married,none,3,real_estate,47,stores,own,2,unskilled,1,no,yes,Good
<0,8,delayed,business,10659,>=1000,unemployed,2,female_married,none,3,life_insurance,62,none,free,2,management,2,yes,yes,Good
>=200,41,no_credit,furniture,4267,<100,unemployed,4,male_married,guarantor,2,no_property,43,none,rent,3,unskilled,1,no,no,Good
<0,16,all_paid,education,10701,100<=X<500,4<=X<7,3,female_single,none,1,life_insurance,74,stores,free,4,unskilled,2,yes,yes,Good
0<=X<200,34,critical,education,10528,<100,4<=X<7,3,male_single,guarantor,2,no_property,53,stores,own,3,skilled,1,no,no,Good
0<=X<200,50,all_paid,other,11246,500<=X<1000,>=7,2,male_married,guarantor,2,life_insurance,68,stores,own,3,highly_skilled,1,no,no,Bad
no_account,55,no_credit,car,1384,<100,<1,2,female_married,co_applicant,4,car,51,bank,rent,2,highly_skilled,1,yes,yes,Bad
0<=X<200,59,critical,education,5369,<100,1<=X<4,2,female_single,none,1,real_estate,26,bank,own,4,highly_skilled,2,no,no,Bad
>=200,18,all_paid,car,5944,100<=X<500,1<=X<4,3,male_single,none,3,life_insurance,29,stores,own,1,unskilled,1,yes,yes,Good
<0,32,existing_paid,business,4414,500<=X<1000,1<=X<4,3,female_married,co_applicant,4,car,19,bank,free,3,highly_skilled,1,yes,no,Bad
no_account,11,no_credit,furniture,18980,unknown,unemployed,1,female_married,guarantor,2,life_insurance,55,none,own,3,unskilled,2,no,yes,Bad
<0,8,no_credit,business,5289,unknown,4<=X<7,4,female_married,none,1,real_estate,22,stores,rent,4,skilled,1,no,yes,Bad
<0,32,no_credit,other,14881,>=1000,<1,1,male_married,guarantor,3,life_insurance,22,none,rent,3,highly_skilled,2,no,no,Bad
>=200,50,existing_paid,radio_tv,10692,<100,unemployed,4,female_single,co_applicant,3,no_property,69,stores,own,4,unskilled,2,yes,yes,Bad
0<=X<200,71,existing_paid,radio_tv,8502,>=1000,4<=X<7,1,female_married,guarantor,2,real_estate,39,none,rent,1,highly_skilled,1,yes,yes,Bad
0<=X<200,48,delayed,radio_tv,17971,100<=X<500,4<=X<7,3,male_married,none,3,no_property,22,stores,free,4,highly_skilled,2,no,yes,Bad
<0,5,all_paid,business,17818,unknown,<1,1,female_single,guarantor,3,car,21,none,free,1,skilled,1,yes,no,Bad
no_account,30,delayed,education,1801,<100,<1,4,female_single,guarantor,1,car,26,stores,own,4,management,1,yes,no,Good
0<=X<200,39,all_paid,furniture,12875,100<=X<500,<1,2,male_married,none,4,life_insurance,46,stores,own,3,highly_skilled,2,yes,yes,Bad
no_account,39,existing_paid,radio_tv,1879,100<=X<500,unemployed,4,male_married,none,1,no_property,39,bank,free,1,skilled,1,yes,yes,Good
0<=X<200,29,existing_paid,other,18160,<100,>=7,2,female_married,guarantor,4,no_property,44,none,rent,3,highly_skilled,1,no,no,Bad
no_account,46,delayed,other,1611,100<=X<500,<1,3,female_single,guarantor,4,real_estate,27,bank,own,1,highly_skilled,2,no,no,Good
>=200,30,critical,radio_tv,4620,<100,>=7,4,male_single,co_applicant,4,no_property,33,none,own,4,highly_skilled,2,no,no,Good
no_account,23,delayed,radio_tv,5533,<100,unemployed,1,male_married,none,3,no_property,59,bank,rent,4,highly_skilled,1,yes,yes,Good
>=200,14,all_paid,furniture,7860,500<=X<1000,>=7,4,female_single,guarantor,1,real_estate,59,stores,own,4,management,2,yes,no,Good
>=200,41,delayed,radio_tv,10808,>=1000,1<=X<4,2,female_single,none,3,real_estate,68,bank,rent,2,management,2,yes,yes,Good
no_account,9,no_credit,furniture,15174,100<=X<500,>=7,3,female_married,co_applicant,2,no_property,27,bank,rent,2,highly_skilled,2,yes,no,Bad
>=200,26,all_paid,other,15089,100<=X<500,<1,1,male_single,guarantor,1,life_insurance,23,stores,rent,1,highly_skilled,2,no,yes,Bad
<0,50,all_paid,radio_tv,12199,500<=X<1000,unemployed,4,female_married,guarantor,4,real_estate,66,bank,rent,2,skilled,1,yes,no,Bad
>=200,49,critical,business,10876,500<=X<1000,<1,2,male_single,guarantor,3,real_estate,22,stores,rent,4,skilled,1,yes,yes,Bad
0<=X<200,15,existing_paid,business,2243,500<=X<1000,1<=X<4,1,male_single,none,3,no_property,23,none,free,2,unskilled,2,no,no,Bad
no_account,16,all_paid,other,1119,unknown,<1,3,male_married,co_applicant,1,no_property,73,bank,rent,2,management,1,no,no,Good
<0,65,existing_paid,furniture,1264,unknown,<1,1,female_single,none,1,real_estate,64,stores,free,3,highly_skilled,2,no,yes,Bad
no_account,63,delayed,business,10353,unknown,<1,3,female_single,guarantor,4,no_property,42,stores,rent,1,management,2,yes,no,Bad
0<=X<200,46,no_credit,furniture,17236,<100,4<=X<7,1,female_single,co_applicant,4,real_estate,68,bank,own,1,skilled,1,yes,no,Bad
0<=X<200,71,critical,business,12263,100<=X<500,1<=X<4,4,male_single,guarantor,2,life_insurance,67,none,free,1,management,1,yes,no,Bad
0<=X<200,8,existing_paid,business,940,>=1000,<1,2,female_single,guarantor,4,life_insurance,21,bank,own,2,management,1,yes,no,Bad
>=200,40,all_paid,furniture,17123,<100,<1,4,male_married,none,3,real_estate,57,stores,rent,4,highly_skilled,1,yes,yes,Bad
>=200,34,existing_paid,education,10998,100<=X<500,<1,4,male_single,guarantor,2,real_estate,65,none,rent,3,highly_skilled,2,yes,yes,Good
no_account,12,all_paid,business,8274,100<=X<500,unemployed,3,male_single,co_applicant,2,car,49,bank,own,1,skilled,2,no,no,Good
no_account,54,existing_paid,radio_tv,16928,500<=X<1000,4<=X<7,3,male_single,guarantor,2,car,73,stores,rent,2,highly_skilled,1,yes,yes,Bad
<0,32,all_paid,other,5738,500<=X<1000,unemployed,3,male_single,guarantor,1,no_property,68,bank,own,4,skilled,2,no,yes,Good
<0,43,delayed,education,11285,<100,4<=X<7,4,male_married,none,4,no_property,69,none,rent,3,skilled,1,no,yes,Good
no_account,44,all_paid,furniture,19546,500<=X<1000,<1,1,female_single,co_applicant,2,real_estate,52,none,rent,3,unskilled,1,no,yes,Bad
>=200,14,all_paid,education,18507,100<=X<500,1<=X<4,1,male_married,none,1,real_estate,27,none,free,1,unskilled,1,yes,yes,Bad
0<=X<200,26,no_credit,car,13105,500<=X<1000,>=7,4,female_single,guarantor,1,car,51,none,own,1,unskilled,2,yes,no,Bad
no_account,4,all_paid,car,19892,unknown,>=7,4,male_married,none,2,car,53,none,rent,4,management,2,no,yes,Bad
<0,49,no_credit,business,3067,500<=X<1000,<1,2,female_married,none,2,real_estate,23,bank,own,2,unskilled,1,yes,no,Bad
>=200,24,critical,business,4708,100<=X<500,unemployed,3,female_married,none,3,life_insurance,60,none,free,4,highly_skilled,1,yes,yes,Good
no_account,39,no_credit,radio_tv,5557,<100,1<=X<4,3,female_married,none,2,life_insurance,63,none,own,1,highly_skilled,1,no,no,Good
no_account,57,delayed,other,9183,>=1000,4<=X<7,4,female_married,guarantor,3,no_property,33,stores,free,4,unskilled,1,yes,no,Bad
>=200,60,no_credit,education,18675,500<=X<1000,<1,4,male_single,guarantor,2,real_estate,70,none,own,2,management,2,yes,no,Bad
no_account,4,critical,car,17313,100<=X<500,1<=X<4,1,male_single,co_applicant,2,real_estate,36,stores,own,3,skilled,2,yes,yes,Bad
>=200,66,delayed,business,10909,>=1000,1<=X<4,4,male_married,none,4,no_property,51,stores,free,3,management,1,yes,yes,Bad
0<=X<200,57,existing_paid,other,5988,>=1000,4<=X<7,1,male_married,none,2,car,42,stores,rent,3,management,1,no,no,Bad
>=200,58,existing_paid,education,5918,unknown,1<=X<4,4,female_married,co_applicant,2,car,48,bank,rent,3,skilled,2,no,no,Bad
>=200,43,no_credit,business,14677,>=1000,unemployed,2,female_single,none,3,life_insurance,66,bank,rent,1,skilled,1,yes,yes,Bad
>=200,18,no_credit,business,7947,100<=X<500,unemployed,2,female_married,co_applicant,3,real_estate,58,stores,own,1,skilled,2,yes,yes,Good
no_account,24,critical,car,16696,100<=X<500,unemployed,1,male_married,guarantor,4,car,34,bank,own,2,highly_skilled,2,yes,no,Bad
no_account,50,critical,car,8079,500<=X<1000,1<=X<4,3,female_married,co_applicant,2,life_insurance,64,none,rent,2,skilled,1,no,yes,Bad
>=200,56,all_paid,business,11001,500<=X<1000,unemployed,2,male_married,none,2,life_insurance,47,bank,own,2,skilled,2,yes,yes,Bad
no_account,12,critical,furniture,13700,500<=X<1000,4<=X<7,1,female_married,co_applicant,3,life_insurance,56,none,own,2,management,2,yes,yes,Bad
<0,55,all_paid,business,7602,>=1000,1<=X<4,4,female_single,guarantor,1,car,71,none,rent,4,management,2,no,yes,Bad
<0,60,delayed,other,13766,>=1000,>=7,4,female_married,none,1,car,72,bank,free,2,unskilled,2,yes,yes,Bad
no_account,29,no_credit,business,8576,unknown,1<=X<4,1,female_single,guarantor,1,real_estate,48,bank,own,3,management,1,no,yes,Good
no_account,44,delayed,radio_tv,3894,500<=X<1000,4<=X<7,3,female_single,guarantor,3,real_estate,36,stores,own,3,skilled,2,yes,no,Good
>=200,38,critical,radio_tv,8253,<100,>=7,1,male_married,co_applicant,3,life_insurance,52,bank,own,3,highly_skilled,2,no,no,Good
0<=X<200,66,delayed,radio_tv,3528,unknown,1<=X<4,1,female_single,guarantor,1,life_insurance,46,bank,own,4,management,2,yes,no,Bad
no_account,28,delayed,furniture,7546,<100,unemployed,2,male_single,none,1,car,18,bank,free,2,management,1,yes,no,Bad
<0,41,delayed,furniture,3324,>=1000,<1,1,male_single,guarantor,2,car,21,none,rent,3,skilled,1,no,no,Bad
>=200,5,critical,business,13511,unknown,<1,1,male_single,guarantor,3,real_estate,45,none,own,3,management,1,no,no,Bad
no_account,10,delayed,radio_tv,11423,unknown,unemployed,4,male_married,co_applicant,3,real_estate,35,none,rent,3,management,2,no,yes,Good
<0,37,all_paid,furniture,8562,100<=X<500,<1,2,male_single,guarantor,1,no_property,43,stores,own,3,skilled,1,no,yes,Good
<0,20,critical,car,1887,>=1000,<1,4,male_married,co_applicant,1,real_estate,57,stores,free,1,management,1,no,no,Good
0<=X<200,46,delayed,business,13902,>=1000,unemployed,4,male_married,co_applicant,4,car,36,stores,rent,2,highly_skilled,1,yes,no,Bad
>=200,62,critical,other,5353,unknown,unemployed,3,male_single,none,3,life_insurance,72,none,free,2,unskilled,2,no,no,Bad
>=200,54,existing_paid,education,17278,>=1000,1<=X<4,3,female_single,none,4,no_property,72,bank,own,4,management,1,no,yes,Bad
0<=X<200,57,all_paid,business,2282,unknown,1<=X<4,2,female_married,none,2,real_estate,74,stores,free,1,highly_skilled,1,no,yes,Bad
0<=X<200,27,delayed,education,3011,100<=X<500,unemployed,2,male_married,none,4,real_estate,23,stores,free,4,management,1,no,yes,Bad
>=200,28,existing_paid,radio_tv,15445,unknown,4<=X<7,3,male_single,co_applicant,1,car,18,none,own,3,unskilled,2,yes,yes,Bad
>=200,55,existing_paid,education,18702,>=1000,<1,3,male_married,guarantor,3,no_property,25,stores,own,4,skilled,2,yes,no,Bad
no_account,36,critical,radio_tv,16875,>=1000,1<=X<4,3,female_single,none,3,real_estate,50,bank,rent,3,unskilled,1,yes,no,Bad
no_account,52,existing_paid,car,2918,unknown,<1,3,female_single,none,4,life_insurance,68,none,own,3,management,1,yes,no,Bad
0<=X<200,32,all_paid,education,14888,unknown,>=7,3,male_single,none,4,car,60,none,rent,2,unskilled,1,yes,no,Bad
no_account,66,all_paid,business,16204,unknown,unemployed,4,male_married,guarantor,2,no_property,38,bank,free,2,unskilled,2,no,yes,Bad
<0,25,no_credit,radio_tv,17436,500<=X<1000,4<=X<7,2,female_married,none,2,real_estate,41,bank,free,2,skilled,2,yes,yes,Bad
no_account,29,all_paid,business,12606,>=1000,>=7,4,female_married,guarantor,1,real_estate,42,bank,rent,2,management,1,yes,no,Bad
no_account,31,existing_paid,furniture,445,>=1000,>=7,4,male_married,co_applicant,1,no_property,64,stores,own,2,unskilled,2,no,yes,Good
<0,52,all_paid,radio_tv,2437,500<=X<1000,>=7,1,male_married,co_applicant,1,car,72,bank,own,1,unskilled,1,no,yes,Bad
0<=X<200,52,critical,education,11957,unknown,unemployed,4,male_married,co_applicant,4,no_property,74,none,free,2,skilled,2,yes,yes,Bad
<0,23,no_credit,radio_tv,2580,100<=X<500,1<=X<4,3,male_single,guarantor,4,no_property,60,bank,rent,4,highly_skilled,1,yes,yes,Good
no_account,66,existing_paid,business,3856,unknown,unemployed,3,female_single,none,3,car,36,none,free,3,management,2,no,no,Bad
0<=X<200,64,no_credit,car,310,unknown,1<=X<4,1,female_married,none,1,real_estate,46,none,free,2,highly_skilled,1,yes,yes,Bad
no_account,52,existing_paid,radio_tv,14637,500<=X<1000,>=7,1,male_single,none,4,life_insurance,70,stores,own,1,highly_skilled,2,no,no,Bad
<0,4,critical,education,4177,>=1000,>=7,1,male_married,none,3,car,27,bank,rent,4,skilled,1,no,yes,Good
<0,16,no_credit,furniture,6546,unknown,4<=X<7,1,male_married,none,1,life_insurance,73,stores,free,4,skilled,1,yes,yes,Good
no_account,54,delayed,other,13872,>=1000,1<=X<4,1,female_single,guarantor,2,real_estate,29,bank,own,3,management,1,yes,no,Bad
>=200,59,existing_paid,car,14375,<100,>=7,4,male_married,co_applicant,2,no_property,50,bank,free,4,highly_skilled,1,yes,no,Bad
>=200,65,delayed,furniture,2841,>=1000,<1,1,male_single,none,4,life_insurance,73,bank,free,4,unskilled,2,no,yes,Bad
<0,35,no_credit,radio_tv,12377,100<=X<500,4<=X<7,4,male_single,co_applicant,3,real_estate,24,bank,own,4,highly_skilled,1,no,yes,Bad
<0,33,delayed,business,15998,100<=X<500,unemployed,2,female_single,guarantor,2,real_estate,34,bank,own,4,skilled,2,yes,no,Bad
>=200,32,delayed,business,6371,unknown,4<=X<7,1,male_single,guarantor,3,no_property,27,none,rent,1,unskilled,2,yes,yes,Good
>=200,52,no_credit,education,1450,>=1000,<1,1,female_married,none,3,no_property,48,none,free,3,unskilled,1,yes,yes,Bad
no_account,48,critical,business,15971,unknown,1<=X<4,4,male_single,guarantor,2,real_estate,23,bank,rent,2,skilled,1,no,no,Bad
no_account,33,delayed,car,19488,500<=X<1000,unemployed,2,male_single,co_applicant,3,real_estate,34,none,own,4,unskilled,1,no,yes,Bad
>=200,19,delayed,business,11337,100<=X<500,unemployed,4,male_single,none,2,life_insurance,67,stores,own,1,highly_skilled,1,no,yes,Good
no_account,43,critical,education,7222,unknown,1<=X<4,4,female_married,none,4,real_estate,54,stores,free,3,skilled,2,yes,yes,Good
no_account,22,delayed,other,386,500<=X<1000,4<=X<7,1,male_married,co_applicant,1,real_estate,35,stores,rent,2,management,2,no,yes,Good
0<=X<200,21,delayed,radio_tv,17663,unknown,>=7,3,male_single,none,1,life_insurance,43,bank,rent,3,skilled,2,no,yes,Bad
no_account,4,delayed,radio_tv,15596,>=1000,4<=X<7,3,female_single,none,4,car,66,bank,free,1,management,2,yes,no,Bad
<0,50,all_paid,business,19228,>=1000,<1,4,female_married,co_applicant,2,life_insurance,71,none,free,1,management,1,no,yes,Bad
no_account,69,critical,furniture,911,>=1000,>=7,1,female_single,none,2,life_insurance,33,none,rent,1,skilled,2,yes,no,Bad
no_account,41,delayed,radio_tv,2722,>=1000,4<=X<7,2,male_single,none,2,no_property,25,none,own,4,skilled,1,no,no,Good
>=200,54,critical,other,336,<100,1<=X<4,3,female_single,co_applicant,2,life_insurance,41,stores,own,1,management,1,yes,yes,Bad
<0,66,existing_paid,business,10954,500<=X<1000,<1,2,male_single,guarantor,4,real_estate,30,stores,free,2,management,2,yes,no,Bad
no_account,7,existing_paid,education,6469,500<=X<1000,<1,3,female_married,co_applicant,1,real_estate,46,stores,rent,4,unskilled,2,no,yes,Good
